anyo;liga;equipoId;equipoNombre;estadio;publicoEstadio;equipoDivision;clasificacionFinal;G;Ghome;W;L;DivWin;WCWin;LgWin;WSWin;R;AB;H;B2;B3;HR;BB;SO;SB;CS;HBP;SF;RA;ER;ERA;CG;SHO;SV;IPouts;HA;HRA;BBA;SOA;E;DP;FP;BPF;PPF
1872;NA;MID;Middletown Mansfields;Mansfield Club Grounds;;;8;24;;5;19;;;N;;220;1013;275;36;9;2;10;13;6;7;;;348;130;555;20;0;0;633;366;6;15;10;231;11;804;98;103
2021;NL;MIL;Milwaukee Brewers;Miller Park;1824282;C;1;162;81;95;67;Y;N;N;N;738;5362;1251;255;18;194;586;1465;82;21;88;35;623;558;350;2;19;44;4308;1156;168;537;1618;94;102;984;101;101
2021;AL;MIN;Minnesota Twins;Target Field;1310199;C;5;162;81;73;89;N;N;N;N;729;5431;1311;271;17;228;525;1405;54;15;70;42;834;762;483;1;9;42;4258;1392;239;484;1317;107;138;982;98;98
1965;NL;ML1;Milwaukee Braves;County Stadium;555584;;5;162;81;86;76;;;N;N;708;5542;1419;243;28;196;408;976;64;37;;;633;566;352;43;4;38;4341;1336;123;541;966;140;145;978;101;99
1878;NL;ML2;Milwaukee Grays;Eclipse Park II;;;6;61;;15;45;;;N;;256;2212;552;65;20;2;69;214;;;;;386;158;260;54;1;0;1641;589;3;55;147;376;32;866;106;113
1891;AA;ML3;Milwaukee Brewers;;;;3;36;;21;15;;;N;;227;1271;332;58;15;13;107;114;47;;29;;156;86;250;35;3;0;929;291;6;120;137;116;20;922;120;118
1997;AL;ML4;Milwaukee Brewers;County Stadium;1444027;C;3;161;80;78;83;N;N;N;N;681;5444;1415;294;27;135;494;967;103;55;58;52;742;669;422;6;8;44;4282;1419;177;542;1016;121;171;980;101;102
1901;AL;MLA;Milwaukee Brewers;Lloyd Street Grounds;139034;;8;139;70;48;89;;;N;;641;4795;1250;192;66;26;325;387;176;;46;;828;549;406;107;3;3;3654;1383;32;395;376;393;106;934;95;98
1884;UA;MLU;Milwaukee Brewers;;;;2;12;;8;4;;;N;;53;395;88;25;0;0;20;70;;;;;34;26;225;12;3;0;312;49;1;13;139;53;4;892;60;60
2004;NL;MON;Montreal Expos;;749550;E;5;162;80;67;95;N;N;N;N;635;5474;1361;276;27;151;496;925;109;38;35;33;769;696;433;11;11;31;4341;1477;191;582;1032;99;172;984;105;105
1915;FL;NEW;Newark Pepper;;;;5;155;;80;72;;;N;;585;5097;1283;210;80;17;438;550;184;;;;562;406;26;100;16;7;4218;1308;15;453;581;239;124;963;94;94
1875;NA;NH1;New Haven Elm Citys;Hamilton Park;;;8;47;;7;40;;;N;;170;1714;373;41;13;2;14;62;35;16;;;397;125;265;40;0;0;1275;501;5;21;54;447;24;814;87;93
1957;NL;NY1;New York Giants;Polo Grounds IV;653923;;6;154;77;69;85;;;N;N;643;5346;1349;171;54;157;447;669;64;38;;;701;623;401;35;9;20;4194;1436;150;471;701;161;180;974;100;102
1875;NA;NY2;New York Mutuals;Union Grounds;;;6;71;;30;38;;;N;;328;2685;633;82;21;7;19;47;20;24;;;425;174;246;70;3;0;1910;718;4;21;77;526;30;838;99;100
1876;NL;NY3;New York Mutuals;Union Grounds;;;6;57;;21;35;;;N;;260;2180;494;39;15;2;18;35;;;;;412;173;294;56;2;0;1590;718;8;24;37;473;18;825;96;100
1887;AA;NY4;New York Metropolitans;St. George Cricket Grounds;;;7;138;;44;89;;;N;N;754;4821;1197;193;66;21;439;456;305;;50;;1093;693;528;132;1;0;3541;1545;39;406;316;632;102;894;96;100
2021;AL;NYA;New York Yankees;Yankee Stadium III;1959854;E;2;162;81;92;70;N;Y;N;N;711;5331;1266;213;12;222;621;1482;63;18;63;34;669;596;374;3;13;47;4306;1243;196;492;1569;98;112;983;100;99
2021;NL;NYN;New York Mets;Citi Field;1511926;E;3;162;81;77;85;N;N;N;N;636;5210;1243;228;18;176;495;1392;54;26;94;23;668;597;390;2;8;41;4138;1221;190;475;1453;95;121;983;95;95
1890;PL;NYP;New York Giants;;;;3;132;;74;57;;;N;;1018;4913;1393;204;97;66;486;364;231;;31;;875;543;417;111;3;6;3517;1216;37;569;449;450;94;921;108;107
2021;AL;OAK;Oakland Athletics;Oakland Coliseum;701430;W;3;162;81;86;76;N;N;N;N;743;5395;1284;271;19;199;545;1349;88;20;98;49;687;640;402;3;11;39;4299;1362;191;439;1332;72;116;987;95;94
1875;NA;PH1;Philadelphia Athletics;Jefferson Street Grounds;;;2;77;;53;20;;;N;;699;3250;941;124;57;7;38;55;75;46;;;402;183;240;75;6;0;2061;776;4;39;45;419;51;876;107;106
1875;NA;PH2;Philadelphia Whites;Jefferson Street Grounds;;;5;70;;37;31;;;N;;470;2721;683;67;27;5;21;58;105;51;;;376;148;212;64;5;0;1884;652;6;30;42;477;32;848;104;102
1875;NA;PH3;Philadelphia Centennials;Centennial Grounds;;;11;14;;2;12;;;N;;70;530;125;22;3;0;10;25;4;;;;138;38;271;14;0;0;378;169;0;5;6;164;5;769;92;98
1891;AA;PH4;Philadelphia Athletics;Athletic Park;;;5;142;;73;66;;;N;;817;5039;1301;182;123;55;447;548;149;;74;;794;550;401;135;3;0;3701;1274;35;520;533;389;109;933;103;103
1954;AL;PHA;Philadelphia Athletics;;304666;;8;156;77;51;103;;;N;N;542;5206;1228;191;41;94;504;677;30;29;;;875;789;518;49;3;13;4113;1523;141;685;555;166;163;971;100;105
2021;NL;PHI;Philadelphia Phillies;Citizens Bank Park;1515890;E;2;162;81;82;80;N;N;N;N;734;5366;1288;262;24;198;564;1402;77;19;67;43;745;692;439;5;12;36;4256;1321;200;509;1480;94;142;984;99;99
1876;NL;PHN;Philadelphia Athletics;Jefferson Street Grounds;;;7;60;;14;45;;;N;;378;2387;646;79;35;7;27;36;;;;;534;197;322;53;1;2;1650;783;2;41;22;456;32;839;104;104
1890;PL;PHP;Philadelphia Athletics;;;;5;132;;68;63;;;N;;941;4855;1350;187;113;49;431;321;203;;51;;855;520;405;118;4;2;3463;1292;33;495;361;510;118;910;103;101
1884;UA;PHU;Philadelphia Keystones;;;;8;67;;21;46;;;N;;414;2518;618;108;35;7;103;405;;;;;545;305;463;64;1;0;1780;726;7;105;310;501;36;841;91;94
2021;NL;PIT;Pittsburgh Pirates;PNC Park;859498;C;5;162;81;61;101;N;N;N;N;609;5336;1261;240;35;124;529;1328;60;30;49;37;833;788;508;0;6;25;4189;1400;213;606;1312;70;139;988;98;100
1885;NL;PRO;Providence Grays;Messer Street Grounds;;;4;110;;53;57;;;N;N;442;3727;820;114;30;6;265;430;;;;;531;289;271;108;8;0;2882;912;18;235;371;459;70;903;97;95
1886;AA;PT1;Pittsburg Alleghenys;Recreation Park;;;2;140;;80;57;;;N;N;810;4854;1171;186;96;16;478;713;260;;38;;647;385;283;137;15;1;3678;1130;10;299;515;487;90;917;98;97
1915;FL;PTF;Pittsburgh Rebels;;;;3;156;;86;67;;;N;;592;5040;1318;180;80;20;448;561;224;;;;524;428;279;88;16;12;4146;1273;37;441;517;174;98;971;99;99
1890;PL;PTP;Pittsburgh Burghers;;;;6;131;;60;68;;;N;;849;4677;1212;170;114;35;582;381;251;;57;;931;543;427;124;7;0;3431;1313;36;343;332;523;80;908;92;92
1871;NA;RC1;Rockford Forest Citys;Agricultural Society Fair Grounds;;;9;25;;4;21;;;N;;231;1036;274;44;25;3;38;30;53;10;;;287;108;430;23;1;0;678;315;3;34;16;220;14;821;97;99
1890;AA;RC2;Rochester Broncos;Culver Field I;;;5;133;;63;63;;;N;N;709;4553;1088;131;64;31;446;538;310;;57;;711;460;356;122;5;2;3485;1115;19;530;477;416;95;926;93;92
1884;AA;RIC;Richmond Virginians;Allen Pasture;;;10;45;;12;30;;;N;N;194;1469;326;40;33;7;53;282;;;24;;294;186;452;45;1;0;1111;402;14;52;167;239;27;874;99;102
2021;NL;SDN;San Diego Padres;Petco Park;2191950;W;3;162;81;79;83;N;N;N;N;729;5384;1305;273;21;180;586;1324;110;39;61;46;708;651;410;2;11;43;4290;1277;205;516;1517;82;139;986;92;92
1969;AL;SE1;Seattle Pilots;;677944;W;6;163;82;64;98;N;;N;N;639;5444;1276;179;27;125;626;1015;167;59;;;799;707;435;21;6;33;4389;1490;172;653;963;167;149;974;97;100
2021;AL;SEA;Seattle Mariners;Safeco Field;1215985;W;2;162;81;90;72;N;N;N;N;697;5355;1209;233;11;199;535;1492;64;24;72;36;748;688;430;1;10;51;4321;1356;197;485;1328;79;135;986;95;96
2021;NL;SFN;San Francisco Giants;Oracle Park;1679484;W;1;162;81;107;55;Y;N;N;N;804;5462;1360;271;25;241;602;1461;66;14;64;30;594;524;324;2;18;56;4365;1254;151;416;1425;80;122;986;98;97
1875;NA;SL1;St. Louis Red Stockings;Red Stocking Baseball Park;;;10;19;;4;15;;;N;;60;688;137;20;1;0;12;45;27;9;;;161;50;263;16;2;0;513;209;0;3;21;150;6;833;90;98
1875;NA;SL2;St. Louis Brown Stockings;Grand Avenue Park;;;4;70;;39;29;;;N;;386;2674;643;85;29;0;32;102;108;36;;;369;147;210;67;5;1;1890;636;3;21;71;425;36;869;89;86
1877;NL;SL3;St. Louis Brown Stockings;Sportsman's Park I;;;4;60;;28;32;;;N;;284;2178;531;51;36;1;57;147;;;;;318;160;266;52;1;0;1623;582;2;92;132;281;29;892;95;93
1891;AA;SL4;St. Louis Browns;Sportsman's Park I;;;2;139;;85;51;;;N;;959;4942;1311;165;51;57;612;436;279;;86;;738;433;323;101;8;10;3620;1088;50;571;613;459;91;920;108;108
1886;NL;SL5;St. Louis Maroons;Sportsman's Park I;;;6;126;;43;79;;;N;N;547;4250;1001;183;46;30;235;656;156;;;;712;388;324;118;6;0;3232;1050;34;392;501;452;92;914;94;97
1953;AL;SLA;St. Louis Browns;;297238;;8;154;77;54;100;;;N;N;555;5264;1310;214;25;112;507;644;17;34;;;778;688;448;28;10;24;4149;1467;101;626;639;152;165;974;102;106
1915;FL;SLF;St. Louis Terriers;;;;1;159;;87;67;;;N;;634;5145;1344;199;81;23;576;502;195;;;;527;433;273;94;24;9;4278;1267;22;396;698;207;111;968;105;105
2021;NL;SLN;St. Louis Cardinals;Busch Stadium III;2102530;C;2;162;81;90;72;N;Y;N;N;706;5351;1303;261;22;198;478;1341;89;22;86;44;672;626;398;3;15;50;4251;1234;152;608;1225;84;137;986;92;92
1884;UA;SLU;St. Louis Maroons;;;;1;113;;94;19;;;Y;;887;4285;1251;259;41;32;181;542;;;;;429;216;196;104;8;6;2979;838;9;110;550;554;79;888;99;98
